Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,0,8,2,0,32,0,0,0,1,0,8,1,0,3,2,1,8,1,0,6,2,0,8,0,0,5,1,1,1024,1,0,10,0,1024,1,0,8,1,1.17110717087,0.5987
1,16,0,0,0,2,1,32,1,0,8,0,1,64,0,0,3,2,0,16,1,0,0,0,0,32,1,0,2,1,0,16,0,0,10,1,512,0,0,10,0,1.06787448997,0.6344
1,8,1,0,8,2,1,8,0,0,4,0,0,64,1,0,5,2,0,32,0,0,5,2,1,8,1,0,5,0,0,32,1,0,1,1,128,1,0,0,1,1.54909392338,0.4891
1,64,1,0,5,0,0,32,1,0,10,1,0,32,1,0,2,2,0,16,0,0,7,2,0,64,1,0,0,0,1,1024,0,0,3,1,1024,1,0,3,1,1.62270572891,0.5315
1,64,1,0,6,0,0,16,1,0,10,0,1,64,1,0,6,0,1,64,0,0,6,0,1,16,1,0,4,1,0,64,0,0,6,0,32,0,0,3,2,0.882531465149,0.6981
1,64,1,0,3,0,1,16,1,0,8,0,1,16,0,0,9,1,0,8,1,0,8,0,1,64,1,0,2,1,0,512,0,0,6,0,256,0,0,4,1,2.38618138618,0.3836
1,16,1,0,6,1,1,32,0,0,2,0,0,8,1,0,4,0,0,64,1,0,4,1,0,16,0,0,4,0,1,512,1,0,10,0,512,0,0,0,3,1.1433895153,0.5899
1,16,1,0,0,2,1,32,1,0,0,1,1,16,1,0,9,0,0,64,0,0,9,0,1,8,1,0,9,2,0,256,1,0,6,0,128,1,0,5,0,0.972901779556,0.6556
1,8,1,0,8,1,1,16,1,0,0,2,1,64,1,0,9,2,0,64,1,0,2,1,1,16,1,0,2,0,1,32,1,0,2,1,1024,0,0,7,0,1.38369632244,0.5327
1,8,0,0,7,0,1,64,0,0,5,0,1,64,0,0,0,2,1,64,1,0,8,2,0,16,0,0,1,2,1,512,0,0,9,1,64,1,0,1,3,1.07165479918,0.6484
1,16,1,0,5,1,0,64,0,0,7,2,0,8,0,0,5,0,0,32,1,0,1,0,1,64,1,0,5,0,0,512,1,0,2,0,16,0,0,3,2,1.08838248539,0.6222
1,8,0,0,6,0,0,64,1,0,9,0,1,8,1,0,5,1,1,16,0,0,7,0,1,16,1,0,5,2,1,1024,1,0,5,0,64,1,0,0,1,1.19005800352,0.631
1,16,0,0,3,0,0,64,0,0,10,0,1,16,1,0,1,2,1,16,1,0,7,2,0,64,0,0,2,2,0,256,1,0,8,1,32,0,0,5,1,2.30263332596,0.1
1,32,0,0,9,1,0,16,1,0,2,2,1,32,1,0,8,2,0,16,1,0,8,0,1,64,1,0,8,1,1,512,0,0,7,0,32,1,0,3,0,1.21014428711,0.5983
1,8,0,0,0,0,0,8,0,0,1,2,1,64,0,0,8,0,0,16,1,0,2,0,1,8,1,0,7,1,0,512,0,0,9,1,64,1,0,2,3,2.46544656258,0.2478
1,8,0,0,7,0,0,32,1,0,6,1,1,32,1,0,5,1,1,8,1,0,6,2,0,16,0,0,1,1,0,1024,1,0,3,1,128,0,0,2,3,1.52927970657,0.4774
1,64,1,0,8,0,1,64,0,0,10,0,1,64,0,0,0,2,0,8,1,0,10,0,1,8,0,0,10,2,1,512,0,0,8,1,512,1,0,0,0,0.936844901943,0.6808
1,64,0,0,3,2,1,32,1,0,3,1,1,16,1,0,7,1,0,16,1,0,7,1,0,32,0,0,5,2,1,32,1,0,7,1,16,1,0,1,0,1.16006334534,0.6112
1,32,0,0,1,1,1,8,1,0,2,1,0,16,1,0,5,0,0,32,0,0,3,0,0,64,1,0,0,2,1,256,0,0,9,0,32,1,0,6,1,1.35978242321,0.5286
1,8,1,0,0,1,1,8,0,0,9,2,1,32,1,0,4,1,0,16,0,0,1,2,1,64,0,0,4,0,0,16,0,0,9,0,64,1,0,5,2,1.08047583656,0.6209
1,8,1,0,8,2,1,8,0,0,4,0,0,64,1,0,5,2,0,32,0,0,5,2,1,8,1,0,5,0,0,32,1,0,1,1,128,1,0,3,2,1.18056640263,0.5809
1,8,1,0,8,1,1,16,1,0,0,2,1,64,1,0,9,2,0,64,1,0,2,1,1,16,1,0,2,0,1,32,1,0,2,1,1024,0,0,7,0,1.44951939754,0.5074
