Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,0,0,2,0,64,0,1,0,2,0,8,0,1,0,0,0,256,0,1,0,3,0.114919460271,0.968
1,64,0,0,0,1,0,32,0,1,0,0,1,64,0,1,0,2,1,512,0,1,0,0,2.34843331757,0.101
1,16,0,1,0,0,1,64,0,1,0,2,0,8,0,0,0,0,0,128,0,1,0,2,14.4611550446,0.1028
1,8,0,0,0,2,1,8,0,1,0,0,1,32,0,1,0,2,1,32,0,1,0,1,2.30180597229,0.1135
1,8,0,0,0,1,1,8,0,0,0,1,0,16,0,0,0,2,1,64,0,1,0,0,0.058146557074,0.9803
1,8,0,1,0,2,1,8,0,1,0,0,0,64,0,0,0,0,1,16,0,0,0,3,2.30106920586,0.1135
1,32,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0927644869708,0.9734
1,32,0,0,0,2,1,32,0,1,0,1,0,8,0,0,0,0,1,128,0,1,0,0,0.0514916826589,0.9846
1,16,0,1,0,1,1,8,0,1,0,0,1,64,0,0,0,2,1,1024,0,1,0,0,0.0540866714171,0.9831
1,64,0,0,0,0,0,32,0,1,0,0,0,64,0,0,0,0,1,1024,0,0,0,3,0.0430885874432,0.986
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,1,0,0,0,256,0,1,0,3,0.0868844580932,0.9739
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0543699127777,0.983
1,32,0,1,0,0,1,8,0,0,0,1,0,16,0,0,0,2,1,64,0,1,0,0,0.162764691797,0.9538
1,32,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,1,128,0,1,0,2,2.30248536835,0.1135
1,32,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,2.3010858902,0.1135
1,8,0,0,0,1,1,8,0,1,0,2,0,8,0,0,0,0,1,128,0,1,0,0,0.0623414999679,0.9804
1,16,0,0,0,1,1,8,0,0,0,1,0,16,0,0,0,2,1,64,0,1,0,0,0.0594329979979,0.9822
1,16,0,1,0,2,1,8,0,1,0,0,1,64,0,0,0,2,1,1024,0,1,0,0,0.070484580012,0.9778
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.050641767704,0.9838
1,16,0,0,0,2,0,64,0,1,0,2,0,8,0,1,0,0,0,256,0,1,0,3,0.11167881102,0.9681
1,16,0,1,0,0,1,32,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0529999852234,0.9836
1,8,0,0,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0451219504977,0.9853
1,16,0,1,0,2,1,8,0,1,0,1,0,16,0,0,0,2,1,64,0,1,0,0,0.115919638565,0.9658
1,16,0,1,0,2,1,8,0,1,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,0.0707205958117,0.9792
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.0658108731706,0.9792
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,64,0,1,0,0,0.0432251924218,0.986
1,32,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0628627448726,0.9801
1,8,0,0,0,1,1,8,0,0,0,1,0,16,0,0,0,2,1,64,0,1,0,0,0.0606327725518,0.9803
1,16,0,0,0,2,0,64,0,1,0,2,0,8,0,1,0,0,0,256,0,1,0,3,0.112163573213,0.9686
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,1,0,0,0,256,0,1,0,3,0.0979236435836,0.971
1,8,0,0,0,1,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.046454985486,0.9845
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0533149859824,0.9839
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,64,0,0,0,2,14.5385218414,0.098
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0445963977205,0.985
1,16,0,1,0,0,1,16,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,0,0.0619621818289,0.9804
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,1,0,3,0.05806115951,0.9828
1,16,0,1,0,2,1,8,0,1,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,0.0767063342277,0.9753
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0531261102725,0.9824
1,8,0,0,0,0,1,8,0,1,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0626350776811,0.9814
1,16,0,1,0,0,1,32,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,0.0628370759465,0.9811
1,64,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,128,0,1,0,1,14.4917793915,0.1009
1,16,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,2,1,1024,0,1,0,0,3.63182853317,0.101
1,16,0,1,0,0,1,8,0,0,0,2,0,8,0,0,0,0,1,128,0,0,0,0,0.144278837127,0.9579
1,8,0,1,0,0,1,8,0,0,0,2,1,64,0,0,0,0,0,256,0,1,0,3,0.0650120769202,0.9786
