Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,0,1,1,1,16,1,0,8,1,1,64,1,0,10,2,0,16,1,0,2,2,1,32,0,0,5,1,0,1024,1,0,2,1,1.23975827827,0.559
1,32,1,0,4,2,0,32,0,0,8,2,1,16,0,0,4,1,1,32,1,0,2,1,0,8,0,0,7,1,0,512,1,0,2,1,1.10268950481,0.6407
1,64,1,0,0,2,0,16,0,0,2,0,1,8,0,0,5,2,1,32,0,0,3,0,0,8,0,0,3,1,0,128,1,0,5,1,1.36922076855,0.5177
1,64,0,0,1,1,1,32,1,0,10,2,1,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,9,1,1,1024,0,0,6,3,1.43640848503,0.5075
1,8,0,0,6,2,1,8,0,0,5,0,0,16,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,1,2,1.25512536621,0.5629
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,32,1,0,0,2,1.0591873539,0.6267
1,64,1,0,9,2,1,8,1,0,0,2,1,16,1,0,3,0,1,8,1,0,8,2,1,8,1,0,8,1,1,512,1,0,8,2,3.1812964035,0.1632
1,64,1,0,4,2,0,32,1,0,5,2,1,8,0,0,7,1,0,32,1,0,10,0,0,8,1,0,0,2,1,1024,0,0,10,1,1.55537579975,0.4889
1,64,0,0,1,0,0,32,0,0,7,1,0,32,0,0,7,2,0,32,0,0,6,1,1,32,1,0,3,2,1,512,1,0,10,1,1.19898532991,0.677
1,32,0,0,4,0,0,8,1,0,5,1,1,16,1,0,8,2,0,8,1,0,5,2,1,64,1,0,9,1,0,64,0,0,2,1,13.870745343,0.1
