Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Conv5 active,Conv5 num filters,Conv5 batch normalization,Conv5 activation,Conv5 dropout,Conv5 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,32,0,0,0,1,0,64,0,0,4,0,0,16,0,0,1,2,1,32,0,0,1,0,0,64,1,0,7,2,1,32,0,0,5,1,0,32,1,0,9,0,512,1,0,0,3,0.920452660751,0.6857
1,32,0,0,7,2,1,16,0,0,2,0,0,64,1,0,0,2,1,16,0,0,9,1,1,64,0,0,1,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,1.84197477417,0.5819
1,8,1,0,4,0,0,8,1,0,0,0,0,8,1,0,7,2,0,16,0,0,9,2,0,32,1,0,5,2,1,8,1,0,9,2,1,1024,0,0,6,1,512,0,0,2,2,14.5062856903,0.1
1,16,0,0,4,0,1,32,0,0,4,2,1,8,1,0,9,0,0,8,1,0,6,0,0,32,0,0,7,0,0,64,1,0,10,1,1,1024,0,0,6,0,16,0,0,2,3,1.17305375462,0.6168
1,16,1,0,2,0,0,16,0,0,1,1,1,16,1,0,1,0,0,32,0,0,5,1,1,32,0,0,0,0,0,32,1,0,5,0,0,256,0,0,7,1,64,0,0,3,2,1.03993781834,0.6512
1,64,1,0,0,2,1,8,1,0,10,0,1,8,0,0,5,1,0,64,1,0,4,0,0,8,1,0,3,0,1,16,1,0,8,0,1,256,0,0,2,0,128,0,0,0,0,1.67922238522,0.466
1,8,1,0,3,0,1,16,1,0,8,0,0,16,0,0,3,0,1,16,0,0,9,2,0,16,0,0,9,2,0,64,1,0,1,1,0,128,0,0,9,0,32,1,0,0,3,1.02013076992,0.6455
1,64,0,0,5,0,0,8,0,0,6,2,1,32,1,0,2,1,1,8,0,0,7,0,0,16,1,0,8,1,0,16,0,0,9,1,1,256,0,0,7,1,32,0,0,6,2,1.0192699749,0.6459
1,8,1,0,5,1,1,16,0,0,5,1,0,8,1,0,7,0,0,16,0,0,2,1,1,32,0,0,10,0,1,64,1,0,1,2,1,1024,1,0,4,1,16,0,0,0,3,1.9972739048,0.3794
1,8,1,0,9,0,0,8,0,0,1,2,1,16,0,0,2,0,0,16,1,0,0,0,0,8,0,0,3,2,1,8,1,0,2,0,0,64,1,0,2,0,256,1,0,1,1,1.65762405434,0.4568
1,32,1,0,5,2,0,16,1,0,2,0,1,8,0,0,4,1,0,16,0,0,2,2,1,32,1,0,8,0,0,16,0,0,2,1,0,32,1,0,7,0,128,0,0,0,0,0.910161966228,0.6851
1,16,0,0,2,1,0,16,1,0,10,2,0,16,1,0,6,0,1,64,0,0,1,2,0,8,1,0,4,2,0,32,1,0,3,1,0,128,1,0,0,0,1024,1,0,3,1,1.07634839382,0.6513
1,16,1,0,5,1,0,16,0,0,7,1,1,64,1,0,8,1,0,64,0,0,10,0,0,16,1,0,7,1,1,8,1,0,9,0,0,64,0,0,6,1,64,0,0,4,2,2.10070747414,0.3163
1,8,0,0,8,2,0,16,1,0,0,0,0,32,1,0,7,2,0,64,0,0,0,0,1,8,1,0,10,1,0,16,0,0,5,1,1,128,0,0,2,1,64,1,0,2,3,1.20990918941,0.5816
1,16,0,0,5,0,0,32,0,0,3,1,1,64,0,0,1,0,0,16,1,0,5,0,1,64,1,0,2,1,0,32,0,0,8,0,1,64,0,0,5,1,1024,0,0,9,1,5.58900204773,0.1423
1,8,1,0,7,1,1,16,0,0,2,1,0,64,1,0,10,0,1,64,1,0,7,2,1,8,0,0,10,2,1,32,0,0,7,1,1,256,1,0,7,1,32,0,0,7,0,2.37633332825,0.249
1,16,0,0,8,2,0,8,1,0,10,0,0,32,0,0,8,1,1,8,0,0,8,0,1,64,1,0,9,2,1,8,1,0,0,2,1,512,1,0,0,0,1024,0,0,1,1,1.19563613262,0.6695
1,8,0,0,10,1,0,8,1,0,2,2,1,32,1,0,1,1,0,32,0,0,9,2,0,8,0,0,2,0,0,32,1,0,4,1,1,128,0,0,8,1,64,0,0,7,2,1.54051670284,0.4462
1,64,0,0,5,0,0,16,0,0,7,0,1,16,0,0,10,0,0,64,0,0,4,1,0,8,1,0,0,0,0,32,1,0,4,2,0,512,0,0,8,1,16,0,0,5,0,1.25077266579,0.5637
1,16,0,0,5,0,1,16,1,0,3,2,1,32,0,0,2,1,0,32,0,0,10,2,0,32,1,0,8,2,1,16,1,0,1,0,0,16,0,0,9,0,32,1,0,4,1,0.930179353142,0.6775
1,32,1,0,8,0,0,64,0,0,8,0,1,8,1,0,1,2,0,8,1,0,2,1,1,32,0,0,4,2,0,8,1,0,7,1,1,64,1,0,1,0,64,0,0,4,0,0.96545082655,0.6728
1,16,0,0,10,1,1,32,0,0,0,1,1,8,1,0,6,2,0,8,1,0,0,1,1,32,1,0,5,2,0,16,1,0,10,0,0,512,1,0,10,0,32,1,0,10,2,1.76835362988,0.379
1,32,1,0,10,2,0,64,0,0,6,2,0,32,1,0,2,0,0,16,0,0,6,0,1,32,0,0,7,2,0,32,1,0,8,0,1,512,1,0,1,0,512,0,0,2,1,1.27982369347,0.5672
1,32,0,0,0,1,1,32,0,0,5,1,1,64,1,0,8,1,1,8,1,0,0,0,0,64,1,0,10,1,0,32,1,0,5,0,0,16,1,0,3,0,64,0,0,6,3,1.09453998642,0.618
1,32,0,0,3,1,1,16,1,0,0,2,0,16,0,0,2,2,1,16,1,0,1,0,0,64,0,0,2,1,1,64,0,0,9,2,0,1024,1,0,6,1,128,1,0,3,1,1.71660888824,0.4924
1,8,1,0,8,2,0,8,0,0,5,2,1,8,1,0,5,0,1,8,0,0,10,0,0,16,0,0,4,2,0,32,1,0,7,2,1,32,0,0,0,1,64,1,0,9,3,1.21491281052,0.5656
1,64,0,0,0,0,1,8,1,0,0,2,0,8,0,0,4,1,0,64,0,0,2,2,1,8,1,0,2,0,0,32,1,0,9,1,1,256,1,0,10,0,1024,0,0,0,1,1.43263317013,0.6262
1,8,0,0,9,1,1,16,0,0,7,1,1,64,1,0,8,2,0,32,0,0,9,1,1,64,0,0,3,2,0,64,0,0,2,0,0,1024,1,0,10,0,1024,0,0,10,1,2.06216811562,0.3596
1,64,1,0,5,1,1,64,1,0,10,1,1,8,0,0,6,0,1,16,1,0,4,0,1,16,0,0,0,1,0,8,1,0,10,1,0,16,1,0,9,1,1024,1,0,8,2,2.14684402046,0.3252
1,64,1,0,9,0,1,16,1,0,4,0,1,64,0,0,4,0,0,64,1,0,5,2,1,64,0,0,1,0,1,32,1,0,5,2,1,512,0,0,1,0,128,1,0,1,2,14.5062856628,0.1
1,64,1,0,8,2,1,8,1,0,10,1,0,16,1,0,9,1,0,32,1,0,10,2,0,32,0,0,2,0,0,8,0,0,7,0,1,512,0,0,7,1,32,0,0,6,2,1.44913442459,0.5387
1,8,1,0,9,0,1,32,1,0,1,2,1,64,1,0,2,0,0,8,0,0,1,0,1,32,1,0,8,0,0,8,0,0,2,2,1,64,1,0,10,1,1024,0,0,10,1,1.74053633938,0.5676
1,16,0,0,6,0,1,8,0,0,9,2,1,64,1,0,7,0,1,16,0,0,0,2,1,64,1,0,5,2,1,64,1,0,4,2,1,512,1,0,6,1,128,1,0,1,1,1.9205720211,0.5837
1,64,0,0,8,2,0,16,0,0,7,1,0,16,1,0,6,2,1,16,1,0,3,0,1,16,1,0,4,1,1,8,1,0,4,2,1,32,1,0,1,0,1024,1,0,2,1,0.935553613758,0.6674
1,16,0,0,5,0,0,8,1,0,4,1,1,8,0,0,1,2,1,8,1,0,10,1,0,8,1,0,10,2,1,64,0,0,9,1,1,512,1,0,7,1,16,1,0,3,1,3.84945443382,0.1118
1,32,1,0,7,2,0,64,0,0,5,1,0,64,0,0,5,2,1,16,1,0,2,2,1,32,0,0,10,0,1,64,0,0,3,1,0,32,1,0,1,0,64,1,0,5,1,1.05716681976,0.6563
1,32,0,0,0,1,0,16,0,0,2,1,1,32,0,0,5,0,1,16,0,0,1,1,1,16,1,0,6,2,0,64,1,0,1,2,1,16,1,0,9,0,64,0,0,8,0,1.11730661221,0.6119
1,16,0,0,6,2,1,32,1,0,2,0,1,8,0,0,10,1,1,64,0,0,4,1,0,64,1,0,3,1,1,16,1,0,2,1,1,16,0,0,4,0,16,0,0,5,2,3.69321929626,0.1002
1,64,1,0,6,1,0,64,0,0,1,2,0,8,0,0,7,2,1,8,0,0,10,0,0,16,0,0,2,1,0,16,1,0,4,0,0,16,0,0,5,0,512,1,0,4,1,1.69421019859,0.3954
1,64,1,0,8,2,1,8,0,0,9,0,0,16,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,1,1,512,0,0,6,0,16,0,0,6,0,1.15852696972,0.6069
1,64,1,0,0,1,0,64,0,0,7,2,0,16,1,0,8,0,0,16,0,0,9,1,0,8,1,0,3,2,1,64,1,0,4,1,0,32,0,0,1,1,128,1,0,4,3,1.56709156914,0.4542
1,16,0,0,6,0,0,8,1,0,2,2,1,8,0,0,0,1,0,64,0,0,7,2,1,8,0,0,0,1,0,64,1,0,5,2,1,1024,1,0,5,0,32,0,0,7,1,1.14254121332,0.6242
