Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,64,1,0,1,2,0,16,1,0,6,2,1,32,1,1,2,1,0,512,0,0,9,2,14.6803610641,0.0892
1,8,1,1,6,1,0,64,0,0,8,2,1,64,1,0,4,1,1,256,0,1,10,3,0.0708745552547,0.9786
1,32,1,0,5,0,1,64,0,0,5,2,0,32,1,0,4,0,0,128,1,0,10,3,0.0398949495042,0.9868
1,8,1,1,8,0,0,32,0,0,1,0,1,16,1,0,7,2,0,16,1,0,2,2,13.5916452713,0.1135
1,16,1,1,6,2,1,16,1,1,1,2,1,32,0,1,1,1,0,128,1,1,6,0,0.0544916793747,0.9816
1,32,1,1,3,1,1,32,0,0,7,2,0,64,1,0,2,2,1,16,0,1,4,3,0.141800169253,0.9663
1,32,1,0,10,1,0,16,0,0,10,0,1,32,1,1,9,1,0,64,0,1,4,3,0.203845715725,0.973
1,32,1,1,2,0,0,16,0,0,0,2,0,64,1,1,9,0,0,32,1,0,6,0,8.17144277954,0.4869
1,8,1,1,9,2,1,64,0,0,3,2,1,16,1,0,6,1,0,256,1,1,8,1,0.044163299243,0.9862
1,32,1,1,4,0,0,8,1,0,4,2,0,8,1,1,7,1,1,512,0,1,5,2,2.30386639519,0.1028
1,16,1,1,6,2,1,16,1,1,1,2,1,64,1,0,4,1,1,256,0,1,10,3,0.0706138209526,0.9763
1,32,1,0,10,2,0,16,0,0,0,2,0,64,1,1,9,0,0,32,1,0,6,0,0.0736369815595,0.9763
