Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,8,0,1,2,2,0,64,0,0,4,1,1,16,1,0,7,2,1,16,1,0,0,2,1,16,1,1,6,1,0.0739224623248,0.9797
1,16,1,0,5,0,0,64,1,1,5,1,1,8,0,1,0,0,1,32,1,1,10,0,1,256,1,1,7,0,0.0400611751882,0.986
1,32,0,0,0,0,1,32,0,1,5,2,0,8,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0587717120096,0.9831
1,16,1,1,7,1,0,64,1,1,1,2,0,64,0,0,7,1,0,16,1,1,3,1,0,128,0,1,7,3,0.245029135847,0.9375
1,32,1,1,7,2,0,64,1,1,3,2,1,64,1,1,3,0,0,64,0,0,7,1,0,64,0,0,2,1,14.6803610641,0.0892
1,8,1,1,4,1,1,8,1,1,5,2,0,32,0,1,8,0,0,64,0,1,1,0,1,32,0,1,7,1,0.162544534071,0.9491
1,32,1,0,10,1,1,8,1,1,0,1,1,64,1,1,2,2,0,64,0,1,4,2,0,64,1,0,9,3,0.081036822518,0.9749
1,8,1,0,10,1,1,8,0,0,1,2,1,64,0,1,2,0,1,32,0,1,10,1,0,256,0,1,3,1,0.0591461399488,0.9841
1,32,1,0,7,0,0,8,0,0,10,0,1,64,1,1,2,0,1,32,0,0,9,1,0,16,1,1,10,2,14.3059559479,0.0974
1,32,1,1,5,1,0,32,1,1,2,2,1,32,0,1,2,2,1,64,1,1,7,2,0,64,1,0,4,1,14.6803610641,0.0892
1,32,0,0,1,2,0,16,0,1,7,1,0,16,1,0,6,0,1,8,1,1,1,1,0,256,1,0,4,0,0.0803518165702,0.9727
1,16,0,0,1,1,0,8,0,1,7,1,0,16,0,1,9,1,1,16,1,0,6,2,0,1024,0,0,5,1,0.0400560190382,0.9876
